symbol,opra,K,T,S0,iv,type
MSFT,MSFT251212C00535000,535.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00490000,490.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00540000,540.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00360000,360.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00455000,455.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00645000,645.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00270000,270.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00507500,507.5,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00375000,375.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00560000,560.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00300000,300.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00480000,480.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00575000,575.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00340000,340.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212P00310000,310.0,-0.0027397260273972603,483.47,,put
MSFT,MSFT251212C00447500,447.5,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00522500,522.5,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00505000,505.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212P00320000,320.0,-0.0027397260273972603,483.47,,put
MSFT,MSFT251212C00565000,565.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00440000,440.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00390000,390.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212P00300000,300.0,-0.0027397260273972603,483.47,,put
MSFT,MSFT251212C00325000,325.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00595000,595.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00600000,600.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00345000,345.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00335000,335.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00510000,510.0,-0.0027397260273972603,483.47,,call
MSFT,MSFT251212C00500000,500.0,-0.0027397260273972603,483.47,,call
