K,T,S0,iv,type
5.0,0.01643835616438356,278.28,16.898442219238284,call
10.0,0.01643835616438356,278.28,11.828127607421877,call
15.0,0.01643835616438356,278.28,12.53906466308594,call
20.0,0.01643835616438356,278.28,10.867190708007813,call
25.0,0.01643835616438356,278.28,9.835941352539065,call
30.0,0.01643835616438356,278.28,9.025394984130859,call
35.0,0.01643835616438356,278.28,8.359379775390625,call
40.0,0.01643835616438356,278.28,7.798828376464844,call
45.0,0.01643835616438356,278.28,7.312500859375,call
50.0,0.01643835616438356,278.28,6.283205270996094,call
55.0,0.01643835616438356,278.28,9.67822660736084,call
60.0,0.01643835616438356,278.28,5.673831032714843,call
65.0,0.01643835616438356,278.28,5.382815771484374,call
70.0,0.01643835616438356,278.28,5.117191103515625,call
75.0,0.01643835616438356,278.28,4.871097661132811,call
80.0,0.01643835616438356,278.28,4.642582321777344,call
85.0,0.01643835616438356,278.28,4.467777852783202,call
90.0,0.01643835616438356,278.28,4.226567216796875,call
95.0,0.01643835616438356,278.28,4.073247095947266,call
100.0,0.01643835616438356,278.28,3.8574222314453124,call
105.0,0.01643835616438356,278.28,3.7207038232421876,call
110.0,0.01643835616438356,278.28,3.525391811523437,call
115.0,0.01643835616438356,278.28,3.4013686840820307,call
120.0,0.01643835616438356,278.28,3.2226581933593748,call
125.0,0.01643835616438356,278.28,3.1093772265624997,call
130.0,0.01643835616438356,278.28,1.8437507812499998,call
135.0,0.01643835616438356,278.28,2.8398466503906246,call
140.0,0.01643835616438356,278.28,1.671876640625,call
145.0,0.01643835616438356,278.28,1.71875140625,call
150.0,0.01643835616438356,278.28,1.900391123046875,call
155.0,0.01643835616438356,278.28,1.4375028125,call
160.0,0.01643835616438356,278.28,1.3671906640625,call
165.0,0.01643835616438356,278.28,1.46875265625,call
170.0,0.01643835616438356,278.28,1.3906280468749999,call
175.0,0.01643835616438356,278.28,1.7763683056640622,call
180.0,0.01643835616438356,278.28,1.2421912890624998,call
185.0,0.01643835616438356,278.28,1.2148476757812499,call
190.0,0.01643835616438356,278.28,1.203128984375,call
195.0,0.01643835616438356,278.28,0.98437515625,call
200.0,0.01643835616438356,278.28,0.9648441015625,call
205.0,0.01643835616438356,278.28,0.9355475195312499,call
210.0,0.01643835616438356,278.28,0.8359391406249999,call
215.0,0.01643835616438356,278.28,0.804689453125,call
220.0,0.01643835616438356,278.28,0.6757844921875001,call
222.5,0.01643835616438356,278.28,0.6445348046875,call
225.0,0.01643835616438356,278.28,0.6171913281250001,call
227.5,0.01643835616438356,278.28,0.7421900781249999,call
230.0,0.01643835616438356,278.28,0.6152382226562501,call
232.5,0.01643835616438356,278.28,0.5839885351562499,call
235.0,0.01643835616438356,278.28,0.6162147753906251,call
237.5,0.01643835616438356,278.28,0.570316796875,call
240.0,0.01643835616438356,278.28,0.63086306640625,call
242.5,0.01643835616438356,278.28,0.7426783544921874,call
245.0,0.01643835616438356,278.28,0.6174354663085939,call
247.5,0.01643835616438356,278.28,0.6250037500000001,call
250.0,0.01643835616438356,278.28,0.5920450952148439,call
252.5,0.01643835616438356,278.28,0.614261669921875,call
255.0,0.01643835616438356,278.28,0.46973186523437505,call
