K,T,S0,iv,type
15.0,0.019178082191780823,30.41,3.41406396484375,call
20.0,0.019178082191780823,30.41,2.2382856542968748,call
21.0,0.019178082191780823,30.41,2.037114282226563,call
22.0,0.019178082191780823,30.41,1.8417976660156248,call
23.0,0.019178082191780823,30.41,1.65234548828125,call
24.0,0.019178082191780823,30.41,1.5644553027343748,call
25.0,0.019178082191780823,30.41,1.2871129394531249,call
26.0,0.019178082191780823,30.41,0.6718782812500002,call
27.0,0.019178082191780823,30.41,0.5429733203125001,call
28.0,0.019178082191780823,30.41,0.8183611914062499,call
28.5,0.019178082191780823,30.41,0.65820654296875,call
29.0,0.019178082191780823,30.41,0.6093789062500001,call
30.0,0.019178082191780823,30.41,0.6796907031250001,call
31.0,0.019178082191780823,30.41,0.6357458300781251,call
31.5,0.019178082191780823,30.41,0.6289099609375001,call
32.0,0.019178082191780823,30.41,0.632816171875,call
33.0,0.019178082191780823,30.41,0.64062859375,call
34.0,0.019178082191780823,30.41,0.64648791015625,call
35.0,0.019178082191780823,30.41,0.6757844921875001,call
36.0,0.019178082191780823,30.41,0.70312796875,call
37.0,0.019178082191780823,30.41,0.8964854101562498,call
38.0,0.019178082191780823,30.41,1.203128984375,call
39.0,0.019178082191780823,30.41,1.1015669921875002,call
40.0,0.019178082191780823,30.41,0.9023447265625,call
41.0,0.019178082191780823,30.41,1.470705771484375,call
42.0,0.019178082191780823,30.41,1.5527366113281247,call
43.0,0.019178082191780823,30.41,1.48047134765625,call
44.0,0.019178082191780823,30.41,1.7070327148437499,call
45.0,0.019178082191780823,30.41,1.09375453125,call
46.0,0.019178082191780823,30.41,1.2656286718749998,call
47.0,0.019178082191780823,30.41,1.9179691601562503,call
48.0,0.019178082191780823,30.41,1.984375078125,call
49.0,0.019178082191780823,30.41,2.0488330029296877,call
50.0,0.019178082191780823,30.41,1.3437532812499997,call
55.0,0.019178082191780823,30.41,1.5625021874999998,call
21.0,0.038356164383561646,30.41,1.6171894140625,call
