K,T,S0,iv,type
500.0,0.00821917808219178,689.17,1.474612001953125,call
585.0,0.00821917808219178,689.17,0.8359391406249999,call
590.0,0.00821917808219178,689.17,0.7993184130859375,call
610.0,0.00821917808219178,689.17,0.657229990234375,call
620.0,0.00821917808219178,689.17,0.5839885351562499,call
625.0,0.00821917808219178,689.17,0.549076774902344,call
640.0,0.00821917808219178,689.17,0.6137733935546876,call
650.0,0.00821917808219178,689.17,0.5208788146972656,call
652.0,0.00821917808219178,689.17,0.5025684509277344,call
655.0,0.00821917808219178,689.17,0.47412635253906255,call
656.0,0.00821917808219178,689.17,0.4644828942871094,call
660.0,0.00821917808219178,689.17,0.42578699218750005,call
661.0,0.00821917808219178,689.17,0.41602146484374997,call
662.0,0.00821917808219178,689.17,0.4067442138671875,call
664.0,0.00821917808219178,689.17,0.3869690209960937,call
665.0,0.00821917808219178,689.17,0.37744763183593744,call
666.0,0.00821917808219178,689.17,0.36743796630859377,call
667.0,0.00821917808219178,689.17,0.3573062316894531,call
668.0,0.00821917808219178,689.17,0.347113462524414,call
669.0,0.00821917808219178,689.17,0.33685965881347657,call
670.0,0.00821917808219178,689.17,0.3270330969238281,call
671.0,0.00821917808219178,689.17,0.3170844659423828,call
672.0,0.00821917808219178,689.17,0.3070137658691406,call
673.0,0.00821917808219178,689.17,0.2973703076171874,call
674.0,0.00821917808219178,689.17,0.28748271118164054,call
675.0,0.00821917808219178,689.17,0.2775340802001953,call
676.0,0.00821917808219178,689.17,0.26782958740234375,call
677.0,0.00821917808219178,689.17,0.25794199096679693,call
678.0,0.00821917808219178,689.17,0.24872577453613282,call
679.0,0.00821917808219178,689.17,0.23670196899414062,call
680.0,0.00821917808219178,689.17,0.2302933416748047,call
681.0,0.00821917808219178,689.17,0.22095505615234373,call
682.0,0.00821917808219178,689.17,0.21253228881835937,call
683.0,0.00821917808219178,689.17,0.20392641784667967,call
684.0,0.00821917808219178,689.17,0.12427633544921876,call
685.0,0.00821917808219178,689.17,0.11988184814453123,call
686.0,0.00821917808219178,689.17,0.11438873901367189,call
687.0,0.00821917808219178,689.17,0.10877356079101563,call
688.0,0.00821917808219178,689.17,0.1056607989501953,call
689.0,0.00821917808219178,689.17,0.09986251708984376,call
690.0,0.00821917808219178,689.17,0.09528492614746095,call
691.0,0.00821917808219178,689.17,0.09137871520996094,call
692.0,0.00821917808219178,689.17,0.08802181518554689,call
693.0,0.00821917808219178,689.17,0.08503112243652346,call
694.0,0.00821917808219178,689.17,0.08216249877929688,call
695.0,0.00821917808219178,689.17,0.07959904785156251,call
696.0,0.00821917808219178,689.17,0.07789008056640626,call
697.0,0.00821917808219178,689.17,0.07666938964843752,call
698.0,0.00821917808219178,689.17,0.07740180419921877,call
699.0,0.00821917808219178,689.17,0.08301698242187502,call
700.0,0.00821917808219178,689.17,0.07569283691406252,call
701.0,0.00821917808219178,689.17,0.081063876953125,call
702.0,0.00821917808219178,689.17,0.0937590625,call
703.0,0.00821917808219178,689.17,0.10376872802734374,call
704.0,0.00821917808219178,689.17,0.0981535498046875,call
705.0,0.00821917808219178,689.17,0.10352458984374999,call
706.0,0.00821917808219178,689.17,0.117196328125,call
707.0,0.00821917808219178,689.17,0.1206142626953125,call
708.0,0.00821917808219178,689.17,0.12305564453125001,call
709.0,0.00821917808219178,689.17,0.12549702636718751,call
710.0,0.00821917808219178,689.17,0.116219775390625,call
711.0,0.00821917808219178,689.17,0.12696185546875,call
712.0,0.00821917808219178,689.17,0.125985302734375,call
713.0,0.00821917808219178,689.17,0.13086806640624998,call
714.0,0.00821917808219178,689.17,0.141610146484375,call
715.0,0.00821917808219178,689.17,0.15235222656250003,call
720.0,0.00821917808219178,689.17,0.16407085937500002,call
725.0,0.00821917808219178,689.17,0.18555501953124998,call
730.0,0.00821917808219178,689.17,0.21778125976562498,call
740.0,0.00821917808219178,689.17,0.28516339843749994,call
750.0,0.00821917808219178,689.17,0.30664755859375,call
755.0,0.00821917808219178,689.17,0.36035795898437495,call
780.0,0.00821917808219178,689.17,0.42969320312500003,call
500.0,0.010958904109589041,689.17,1.3369173779296872,call
615.0,0.010958904109589041,689.17,0.5654340332031251,call
630.0,0.010958904109589041,689.17,0.6355016918945313,call
640.0,0.010958904109589041,689.17,0.5539595385742189,call
645.0,0.010958904109589041,689.17,0.5124560473632812,call
655.0,0.010958904109589041,689.17,0.4288387194824219,call
658.0,0.010958904109589041,689.17,0.4033873138427735,call
660.0,0.010958904109589041,689.17,0.38635867553710934,call
662.0,0.010958904109589041,689.17,0.3692079681396484,call
665.0,0.010958904109589041,689.17,0.34326828613281246,call
666.0,0.010958904109589041,689.17,0.3347234497070312,call
667.0,0.010958904109589041,689.17,0.3259955096435546,call
668.0,0.010958904109589041,689.17,0.3176948114013671,call
669.0,0.010958904109589041,689.17,0.30933307861328124,call
670.0,0.010958904109589041,689.17,0.3007882421875,call
671.0,0.010958904109589041,689.17,0.2926096130371093,call
672.0,0.010958904109589041,689.17,0.28436994934082027,call
673.0,0.010958904109589041,689.17,0.27637442382812494,call
675.0,0.010958904109589041,689.17,0.2602613037109375,call
676.0,0.010958904109589041,689.17,0.25250991638183595,call
677.0,0.010958904109589041,689.17,0.2449416326904297,call
678.0,0.010958904109589041,689.17,0.2375564526367187,call
679.0,0.010958904109589041,689.17,0.2301712725830078,call
680.0,0.010958904109589041,689.17,0.22327436889648436,call
681.0,0.010958904109589041,689.17,0.21637746520996093,call
682.0,0.010958904109589041,689.17,0.14490601196289063,call
683.0,0.010958904109589041,689.17,0.14038945556640625,call
684.0,0.010958904109589041,689.17,0.1355066918945313,call
685.0,0.010958904109589041,689.17,0.13190565368652346,call
686.0,0.010958904109589041,689.17,0.12806047729492187,call
687.0,0.010958904109589041,689.17,0.12391012817382813,call
688.0,0.010958904109589041,689.17,0.11994288269042967,call
689.0,0.010958904109589041,689.17,0.11542632629394532,call
690.0,0.010958904109589041,689.17,0.11176425354003905,call
691.0,0.010958904109589041,689.17,0.1088956298828125,call
692.0,0.010958904109589041,689.17,0.10572183349609374,call
693.0,0.010958904109589041,689.17,0.10218182983398436,call
694.0,0.010958904109589041,689.17,0.09986251708984376,call
695.0,0.010958904109589041,689.17,0.09681078979492189,call
696.0,0.010958904109589041,689.17,0.09443044250488282,call
697.0,0.010958904109589041,689.17,0.092782509765625,call
698.0,0.010958904109589041,689.17,0.09046319702148437,call
699.0,0.010958904109589041,689.17,0.08826595336914064,call
700.0,0.010958904109589041,689.17,0.08765560791015625,call
701.0,0.010958904109589041,689.17,0.08594664062500001,call
702.0,0.010958904109589041,689.17,0.08741146972656251,call
703.0,0.010958904109589041,689.17,0.10132734619140624,call
704.0,0.010958904109589041,689.17,0.10572183349609374,call
705.0,0.010958904109589041,689.17,0.09961837890625,call
706.0,0.010958904109589041,689.17,0.1049894189453125,call
707.0,0.010958904109589041,689.17,0.1054776953125,call
708.0,0.010958904109589041,689.17,0.10743080078125,call
709.0,0.010958904109589041,689.17,0.1176846044921875,call
710.0,0.010958904109589041,689.17,0.12256736816406251,call
711.0,0.010958904109589041,689.17,0.12500875,call
712.0,0.010958904109589041,689.17,0.118172880859375,call
713.0,0.010958904109589041,689.17,0.13086806640624998,call
714.0,0.010958904109589041,689.17,0.131844619140625,call
715.0,0.010958904109589041,689.17,0.12500875,call
720.0,0.010958904109589041,689.17,0.15332877929687502,call
725.0,0.010958904109589041,689.17,0.16602396484375004,call
730.0,0.010958904109589041,689.17,0.20117986328124998,call
740.0,0.010958904109589041,689.17,0.249030947265625,call
750.0,0.010958904109589041,689.17,0.295905478515625,call
755.0,0.010958904109589041,689.17,0.32227240234374993,call
765.0,0.010958904109589041,689.17,0.362311064453125,call
770.0,0.010958904109589041,689.17,0.34961587890624996,call
775.0,0.010958904109589041,689.17,0.367193828125,call
780.0,0.010958904109589041,689.17,0.42188078125,call
785.0,0.010958904109589041,689.17,0.4023497265625,call
790.0,0.010958904109589041,689.17,0.41992767578125,call
865.0,0.010958904109589041,689.17,0.6250037500000001,call
870.0,0.010958904109589041,689.17,0.6875031250000001,call
650.0,0.0136986301369863,689.17,0.43506424316406256,call
657.0,0.0136986301369863,689.17,0.3813538427734374,call
659.0,0.0136986301369863,689.17,0.366217275390625,call
660.0,0.0136986301369863,689.17,0.35864899169921877,call
664.0,0.0136986301369863,689.17,1.0000000000000003e-05,call
