Date,AAPL,MSFT
2024-12-12 14:30:00,247.9600067138672,
2024-12-13 00:00:00,,447.27
2024-12-13 14:30:00,248.1300048828125,
2024-12-16 00:00:00,,451.59
2024-12-16 14:30:00,251.0399932861328,
2024-12-17 00:00:00,,454.46
2024-12-17 14:30:00,253.47999572753903,
2024-12-18 00:00:00,,437.39
2024-12-18 14:30:00,248.0500030517578,
2024-12-19 00:00:00,,437.03
2024-12-19 14:30:00,249.7899932861328,
2024-12-20 00:00:00,,436.6
2024-12-20 14:30:00,254.4900054931641,
2024-12-23 00:00:00,,435.25
2024-12-23 14:30:00,255.2700042724609,
2024-12-24 00:00:00,,439.33
2024-12-24 14:30:00,258.20001220703125,
2024-12-26 00:00:00,,438.11
2024-12-26 14:30:00,259.0199890136719,
2024-12-27 00:00:00,,430.53
2024-12-27 14:30:00,255.58999633789065,
2024-12-30 00:00:00,,424.83
2024-12-30 14:30:00,252.1999969482422,
2024-12-31 00:00:00,,421.5
2024-12-31 14:30:00,250.4199981689453,
2025-01-02 00:00:00,,418.58
2025-01-02 14:30:00,243.8500061035156,
2025-01-03 00:00:00,,423.35
2025-01-03 14:30:00,243.3600006103516,
2025-01-06 00:00:00,,427.85
2025-01-06 14:30:00,245.0,
2025-01-07 00:00:00,,422.37
2025-01-07 14:30:00,242.2100067138672,
2025-01-08 00:00:00,,424.56
2025-01-08 14:30:00,242.6999969482422,
2025-01-10 00:00:00,,418.95
2025-01-10 14:30:00,236.8500061035156,
2025-01-13 00:00:00,,417.19
2025-01-13 14:30:00,234.3999938964844,
2025-01-14 00:00:00,,415.67
2025-01-14 14:30:00,233.27999877929688,
2025-01-15 00:00:00,,426.31
2025-01-15 14:30:00,237.8699951171875,
2025-01-16 00:00:00,,424.58
2025-01-16 14:30:00,228.25999450683597,
2025-01-17 00:00:00,,429.03
2025-01-17 14:30:00,229.97999572753903,
2025-01-21 00:00:00,,428.5
2025-01-21 14:30:00,222.63999938964844,
2025-01-22 00:00:00,,446.2
2025-01-22 14:30:00,223.8300018310547,
2025-01-23 00:00:00,,446.71
2025-01-23 14:30:00,223.66000366210935,
2025-01-24 00:00:00,,444.06
2025-01-24 14:30:00,222.77999877929688,
2025-01-27 00:00:00,,434.56
2025-01-27 14:30:00,229.8600006103516,
2025-01-28 00:00:00,,447.2
2025-01-28 14:30:00,238.25999450683597,
2025-01-29 00:00:00,,442.33
2025-01-29 14:30:00,239.3600006103516,
2025-01-30 00:00:00,,414.99
2025-01-30 14:30:00,237.58999633789065,
2025-01-31 00:00:00,,415.06
2025-01-31 14:30:00,236.0,
2025-02-03 00:00:00,,410.92
2025-02-03 14:30:00,228.00999450683597,
2025-02-04 00:00:00,,412.37
2025-02-04 14:30:00,232.8000030517578,
2025-02-05 00:00:00,,413.29
2025-02-05 14:30:00,232.47000122070312,
2025-02-06 00:00:00,,415.82
2025-02-06 14:30:00,233.22000122070312,
2025-02-07 00:00:00,,409.75
2025-02-07 14:30:00,227.6300048828125,
2025-02-10 00:00:00,,412.22
2025-02-10 14:30:00,227.6499938964844,
2025-02-11 00:00:00,,411.44
