symbol,opra,K,T,S0,iv,type
ABNB,ABNB251219C00101000,101.0,0.01643835616438356,128.365,,call
ABNB,ABNB251219C00104000,104.0,0.01643835616438356,128.365,,call
ABNB,ABNB251219C00139000,139.0,0.01643835616438356,128.365,,call
ABNB,ABNB251219P00065000,65.0,0.01643835616438356,128.365,,put
ABNB,ABNB251219C00126000,126.0,0.01643835616438356,128.365,0.3154,call
ABNB,ABNB251219C00085000,85.0,0.01643835616438356,128.365,,call
ABNB,ABNB251219C00128000,128.0,0.01643835616438356,128.365,0.3203,call
ABNB,ABNB251219C00107000,107.0,0.01643835616438356,128.365,1.1569,call
ABNB,ABNB251219C00090000,90.0,0.01643835616438356,128.365,,call
ABNB,ABNB251219P00095000,95.0,0.01643835616438356,128.365,,put
ABNB,ABNB251219C00135000,135.0,0.01643835616438356,128.365,0.2825,call
ABNB,ABNB251219P00075000,75.0,0.01643835616438356,128.365,,put
ABNB,ABNB251219C00103000,103.0,0.01643835616438356,128.365,,call
ABNB,ABNB251219C00180000,180.0,0.01643835616438356,128.365,,call
ABNB,ABNB251219C00117000,117.0,0.01643835616438356,128.365,0.747,call
ABNB,ABNB251219P00122000,122.0,0.01643835616438356,128.365,0.398,put
ABNB,ABNB251219P00121000,121.0,0.01643835616438356,128.365,0.2949,put
ABNB,ABNB251219C00122000,122.0,0.01643835616438356,128.365,0.3717,call
ABNB,ABNB251219P00120000,120.0,0.01643835616438356,128.365,0.3728,put
ABNB,ABNB251219P00112000,112.0,0.01643835616438356,128.365,0.5037,put
ABNB,ABNB251219C00116000,116.0,0.01643835616438356,128.365,0.5223,call
ABNB,ABNB251219C00127000,127.0,0.01643835616438356,128.365,0.3227,call
ABNB,ABNB251219C00095000,95.0,0.01643835616438356,128.365,,call
ABNB,ABNB251219P00085000,85.0,0.01643835616438356,128.365,,put
ABNB,ABNB251219C00132000,132.0,0.01643835616438356,128.365,0.2928,call
ABNB,ABNB251219C00150000,150.0,0.01643835616438356,128.365,,call
ABNB,ABNB251219P00100000,100.0,0.01643835616438356,128.365,,put
ABNB,ABNB251219C00125000,125.0,0.01643835616438356,128.365,0.3745,call
