symbol,opra,K,T,S0,iv,type
ACA,ACA260220C00075000,75.0,0.18904109589041096,110.75,,call
ACA,ACA251219C00105000,105.0,0.01643835616438356,110.75,0.468,call
ACA,ACA260116P00145000,145.0,0.09315068493150686,110.75,0.6526,put
ACA,ACA260116P00110000,110.0,0.09315068493150686,110.75,0.3238,put
ACA,ACA251219C00150000,150.0,0.01643835616438356,110.75,,call
ACA,ACA251219P00050000,50.0,0.01643835616438356,110.75,,put
ACA,ACA251219P00125000,125.0,0.01643835616438356,110.75,0.5057,put
ACA,ACA260116C00075000,75.0,0.09315068493150686,110.75,,call
ACA,ACA251219C00135000,135.0,0.01643835616438356,110.75,,call
ACA,ACA251219P00115000,115.0,0.01643835616438356,110.75,0.344,put
ACA,ACA260116C00085000,85.0,0.09315068493150686,110.75,,call
ACA,ACA260116P00090000,90.0,0.09315068493150686,110.75,,put
ACA,ACA260116C00100000,100.0,0.09315068493150686,110.75,0.3176,call
ACA,ACA251219P00070000,70.0,0.01643835616438356,110.75,,put
ACA,ACA260116C00120000,120.0,0.09315068493150686,110.75,0.3375,call
ACA,ACA260116C00135000,135.0,0.09315068493150686,110.75,,call
ACA,ACA260116P00135000,135.0,0.09315068493150686,110.75,0.4693,put
ACA,ACA251219C00075000,75.0,0.01643835616438356,110.75,,call
ACA,ACA260116P00055000,55.0,0.09315068493150686,110.75,,put
ACA,ACA251219P00095000,95.0,0.01643835616438356,110.75,0.693,put
ACA,ACA251219P00100000,100.0,0.01643835616438356,110.75,,put
ACA,ACA251219C00080000,80.0,0.01643835616438356,110.75,,call
ACA,ACA251219C00090000,90.0,0.01643835616438356,110.75,,call
ACA,ACA260116C00060000,60.0,0.09315068493150686,110.75,,call
ACA,ACA260116P00060000,60.0,0.09315068493150686,110.75,,put
ACA,ACA260116C00115000,115.0,0.09315068493150686,110.75,0.3501,call
ACA,ACA251219C00160000,160.0,0.01643835616438356,110.75,,call
ACA,ACA251219P00110000,110.0,0.01643835616438356,110.75,0.5372,put
ACA,ACA251219C00060000,60.0,0.01643835616438356,110.75,,call
ACA,ACA251219C00145000,145.0,0.01643835616438356,110.75,,call
ACA,ACA260220C00055000,55.0,0.18904109589041096,110.75,,call
ACA,ACA251219P00155000,155.0,0.01643835616438356,110.75,,put
ACA,ACA260116P00150000,150.0,0.09315068493150686,110.75,0.6673,put
ACA,ACA251219C00050000,50.0,0.01643835616438356,110.75,,call
ACA,ACA251219P00120000,120.0,0.01643835616438356,110.75,0.4527,put
ACA,ACA260116P00120000,120.0,0.09315068493150686,110.75,0.2751,put
ACA,ACA251219C00140000,140.0,0.01643835616438356,110.75,,call
ACA,ACA260116P00065000,65.0,0.09315068493150686,110.75,,put
ACA,ACA251219P00055000,55.0,0.01643835616438356,110.75,,put
ACA,ACA260116P00070000,70.0,0.09315068493150686,110.75,,put
ACA,ACA260220C00050000,50.0,0.18904109589041096,110.75,,call
ACA,ACA251219C00155000,155.0,0.01643835616438356,110.75,,call
ACA,ACA260116C00105000,105.0,0.09315068493150686,110.75,0.3014,call
ACA,ACA251219C00040000,40.0,0.01643835616438356,110.75,,call
ACA,ACA260220C00070000,70.0,0.18904109589041096,110.75,0.6347,call
ACA,ACA260116C00090000,90.0,0.09315068493150686,110.75,0.3646,call
ACA,ACA251219C00110000,110.0,0.01643835616438356,110.75,0.4025,call
ACA,ACA260116C00080000,80.0,0.09315068493150686,110.75,,call
ACA,ACA251219C00115000,115.0,0.01643835616438356,110.75,0.351,call
ACA,ACA251219P00145000,145.0,0.01643835616438356,110.75,,put
ACA,ACA260116C00125000,125.0,0.09315068493150686,110.75,0.4483,call
ACA,ACA251219P00080000,80.0,0.01643835616438356,110.75,,put
ACA,ACA260220C00045000,45.0,0.18904109589041096,110.75,,call
ACA,ACA260116P00085000,85.0,0.09315068493150686,110.75,,put
ACA,ACA260116P00115000,115.0,0.09315068493150686,110.75,0.2756,put
ACA,ACA251219P00140000,140.0,0.01643835616438356,110.75,,put
ACA,ACA260116C00055000,55.0,0.09315068493150686,110.75,,call
ACA,ACA260116C00155000,155.0,0.09315068493150686,110.75,,call
ACA,ACA260220C00065000,65.0,0.18904109589041096,110.75,0.522,call
ACA,ACA260116P00140000,140.0,0.09315068493150686,110.75,0.5454,put
ACA,ACA251219P00085000,85.0,0.01643835616438356,110.75,,put
ACA,ACA251219P00040000,40.0,0.01643835616438356,110.75,,put
ACA,ACA260116P00130000,130.0,0.09315068493150686,110.75,0.3814,put
ACA,ACA260116C00110000,110.0,0.09315068493150686,110.75,0.265,call
ACA,ACA251219P00130000,130.0,0.01643835616438356,110.75,0.9331,put
ACA,ACA251219C00070000,70.0,0.01643835616438356,110.75,,call
ACA,ACA251219C00100000,100.0,0.01643835616438356,110.75,0.5997,call
ACA,ACA260116P00105000,105.0,0.09315068493150686,110.75,0.376,put
ACA,ACA260116P00095000,95.0,0.09315068493150686,110.75,,put
ACA,ACA251219C00085000,85.0,0.01643835616438356,110.75,,call
ACA,ACA251219P00060000,60.0,0.01643835616438356,110.75,,put
ACA,ACA260116P00075000,75.0,0.09315068493150686,110.75,,put
ACA,ACA251219C00130000,130.0,0.01643835616438356,110.75,,call
ACA,ACA260116C00130000,130.0,0.09315068493150686,110.75,,call
ACA,ACA251219P00065000,65.0,0.01643835616438356,110.75,,put
ACA,ACA260116C00145000,145.0,0.09315068493150686,110.75,,call
ACA,ACA260116C00095000,95.0,0.09315068493150686,110.75,0.3491,call
ACA,ACA260116P00125000,125.0,0.09315068493150686,110.75,0.3484,put
ACA,ACA251219P00075000,75.0,0.01643835616438356,110.75,,put
ACA,ACA251219P00105000,105.0,0.01643835616438356,110.75,0.3821,put
ACA,ACA251219C00095000,95.0,0.01643835616438356,110.75,0.6563,call
ACA,ACA260116P00155000,155.0,0.09315068493150686,110.75,0.6953,put
ACA,ACA260116C00150000,150.0,0.09315068493150686,110.75,,call
ACA,ACA251219P00160000,160.0,0.01643835616438356,110.75,,put
ACA,ACA251219C00045000,45.0,0.01643835616438356,110.75,,call
ACA,ACA260116C00070000,70.0,0.09315068493150686,110.75,,call
ACA,ACA251219P00045000,45.0,0.01643835616438356,110.75,,put
ACA,ACA260116C00140000,140.0,0.09315068493150686,110.75,,call
ACA,ACA251219C00055000,55.0,0.01643835616438356,110.75,,call
ACA,ACA260220C00060000,60.0,0.18904109589041096,110.75,0.6632,call
ACA,ACA260116C00065000,65.0,0.09315068493150686,110.75,0.7864,call
ACA,ACA260220C00080000,80.0,0.18904109589041096,110.75,0.4026,call
ACA,ACA251219P00135000,135.0,0.01643835616438356,110.75,1.0598,put
ACA,ACA251219C00120000,120.0,0.01643835616438356,110.75,,call
ACA,ACA251219P00150000,150.0,0.01643835616438356,110.75,,put
ACA,ACA251219C00065000,65.0,0.01643835616438356,110.75,,call
ACA,ACA251219P00090000,90.0,0.01643835616438356,110.75,,put
ACA,ACA251219C00125000,125.0,0.01643835616438356,110.75,,call
ACA,ACA260116P00080000,80.0,0.09315068493150686,110.75,,put
ACA,ACA260116P00100000,100.0,0.09315068493150686,110.75,0.4957,put
ACA,ACA260515P00135000,135.0,0.4191780821917808,110.75,0.3556,put
ACA,ACA260220C00095000,95.0,0.18904109589041096,110.75,0.3192,call
ACA,ACA260220P00105000,105.0,0.18904109589041096,110.75,0.2854,put
ACA,ACA260515P00145000,145.0,0.4191780821917808,110.75,0.4067,put
ACA,ACA260515C00085000,85.0,0.4191780821917808,110.75,0.4191,call
ACA,ACA260515P00155000,155.0,0.4191780821917808,110.75,0.4497,put
ACA,ACA260220P00045000,45.0,0.18904109589041096,110.75,,put
ACA,ACA260220P00155000,155.0,0.18904109589041096,110.75,0.5022,put
ACA,ACA260515C00105000,105.0,0.4191780821917808,110.75,0.3539,call
ACA,ACA260220C00110000,110.0,0.18904109589041096,110.75,0.2552,call
ACA,ACA260515C00150000,150.0,0.4191780821917808,110.75,0.4138,call
ACA,ACA260220P00140000,140.0,0.18904109589041096,110.75,0.4408,put
ACA,ACA260515C00110000,110.0,0.4191780821917808,110.75,0.3432,call
ACA,ACA260515C00115000,115.0,0.4191780821917808,110.75,0.3353,call
ACA,ACA260220C00115000,115.0,0.18904109589041096,110.75,0.2568,call
ACA,ACA260515P00090000,90.0,0.4191780821917808,110.75,0.3964,put
ACA,ACA260515C00145000,145.0,0.4191780821917808,110.75,0.3814,call
ACA,ACA260515C00125000,125.0,0.4191780821917808,110.75,0.3324,call
ACA,ACA260220C00085000,85.0,0.18904109589041096,110.75,0.3652,call
ACA,ACA260515C00120000,120.0,0.4191780821917808,110.75,0.332,call
ACA,ACA260515C00160000,160.0,0.4191780821917808,110.75,0.4695,call
ACA,ACA260220P00130000,130.0,0.18904109589041096,110.75,0.3142,put
ACA,ACA260220P00090000,90.0,0.18904109589041096,110.75,0.5606,put
ACA,ACA260515P00075000,75.0,0.4191780821917808,110.75,0.5879,put
ACA,ACA260515C00165000,165.0,0.4191780821917808,110.75,,call
ACA,ACA260515P00055000,55.0,0.4191780821917808,110.75,,put
ACA,ACA260515P00070000,70.0,0.4191780821917808,110.75,0.6588,put
ACA,ACA260515P00130000,130.0,0.4191780821917808,110.75,0.3631,put
ACA,ACA260515P00060000,60.0,0.4191780821917808,110.75,,put
ACA,ACA260515P00115000,115.0,0.4191780821917808,110.75,0.3435,put
ACA,ACA260515P00160000,160.0,0.4191780821917808,110.75,0.4784,put
ACA,ACA260515P00165000,165.0,0.4191780821917808,110.75,0.456,put
ACA,ACA260220P00110000,110.0,0.18904109589041096,110.75,0.2684,put
ACA,ACA260515C00155000,155.0,0.4191780821917808,110.75,0.4417,call
ACA,ACA260515C00135000,135.0,0.4191780821917808,110.75,0.3447,call
ACA,ACA260220C00105000,105.0,0.18904109589041096,110.75,0.3061,call
ACA,ACA260220P00085000,85.0,0.18904109589041096,110.75,0.6517,put
ACA,ACA260515C00095000,95.0,0.4191780821917808,110.75,0.3898,call
ACA,ACA260220P00065000,65.0,0.18904109589041096,110.75,,put
ACA,ACA260515P00125000,125.0,0.4191780821917808,110.75,0.3326,put
ACA,ACA260515C00130000,130.0,0.4191780821917808,110.75,0.3399,call
ACA,ACA260220C00130000,130.0,0.18904109589041096,110.75,0.4239,call
ACA,ACA260220P00070000,70.0,0.18904109589041096,110.75,,put
ACA,ACA260220P00075000,75.0,0.18904109589041096,110.75,,put
ACA,ACA260515C00090000,90.0,0.4191780821917808,110.75,0.409,call
ACA,ACA260515P00065000,65.0,0.4191780821917808,110.75,0.7318,put
ACA,ACA260220C00120000,120.0,0.18904109589041096,110.75,0.2846,call
ACA,ACA260515C00080000,80.0,0.4191780821917808,110.75,0.4441,call
ACA,ACA260515C00100000,100.0,0.4191780821917808,110.75,0.3622,call
ACA,ACA260220P00160000,160.0,0.18904109589041096,110.75,0.6781,put
ACA,ACA260220P00080000,80.0,0.18904109589041096,110.75,,put
ACA,ACA260515C00140000,140.0,0.4191780821917808,110.75,0.3474,call
ACA,ACA260515C00050000,50.0,0.4191780821917808,110.75,,call
ACA,ACA260515P00105000,105.0,0.4191780821917808,110.75,0.3536,put
ACA,ACA260220P00125000,125.0,0.18904109589041096,110.75,0.2792,put
ACA,ACA260515P00110000,110.0,0.4191780821917808,110.75,0.3455,put
ACA,ACA260220C00145000,145.0,0.18904109589041096,110.75,,call
ACA,ACA260220P00115000,115.0,0.18904109589041096,110.75,0.2664,put
ACA,ACA260220P00050000,50.0,0.18904109589041096,110.75,,put
ACA,ACA260220P00165000,165.0,0.18904109589041096,110.75,0.6439,put
ACA,ACA260515C00075000,75.0,0.4191780821917808,110.75,0.4953,call
ACA,ACA260515P00120000,120.0,0.4191780821917808,110.75,0.3456,put
ACA,ACA260220P00100000,100.0,0.18904109589041096,110.75,0.3745,put
ACA,ACA260515P00150000,150.0,0.4191780821917808,110.75,0.4425,put
ACA,ACA260220C00165000,165.0,0.18904109589041096,110.75,,call
ACA,ACA260515C00065000,65.0,0.4191780821917808,110.75,,call
ACA,ACA260220C00135000,135.0,0.18904109589041096,110.75,0.4789,call
ACA,ACA260220P00055000,55.0,0.18904109589041096,110.75,,put
ACA,ACA260220P00135000,135.0,0.18904109589041096,110.75,0.3974,put
ACA,ACA260220C00090000,90.0,0.18904109589041096,110.75,0.3231,call
ACA,ACA260515P00085000,85.0,0.4191780821917808,110.75,0.4866,put
ACA,ACA260220C00125000,125.0,0.18904109589041096,110.75,0.3602,call
ACA,ACA260515C00060000,60.0,0.4191780821917808,110.75,0.5725,call
ACA,ACA260220P00060000,60.0,0.18904109589041096,110.75,,put
ACA,ACA260220P00120000,120.0,0.18904109589041096,110.75,0.2789,put
ACA,ACA260515P00100000,100.0,0.4191780821917808,110.75,0.3717,put
ACA,ACA260220P00145000,145.0,0.18904109589041096,110.75,0.4577,put
ACA,ACA260220P00150000,150.0,0.18904109589041096,110.75,0.4601,put
ACA,ACA260515P00050000,50.0,0.4191780821917808,110.75,,put
ACA,ACA260515C00055000,55.0,0.4191780821917808,110.75,0.7074,call
ACA,ACA260515P00140000,140.0,0.4191780821917808,110.75,0.3863,put
ACA,ACA260220C00100000,100.0,0.18904109589041096,110.75,0.2866,call
ACA,ACA260220C00140000,140.0,0.18904109589041096,110.75,,call
ACA,ACA260515P00095000,95.0,0.4191780821917808,110.75,0.4003,put
ACA,ACA260220P00095000,95.0,0.18904109589041096,110.75,0.4663,put
ACA,ACA260220C00155000,155.0,0.18904109589041096,110.75,,call
ACA,ACA260220C00160000,160.0,0.18904109589041096,110.75,,call
ACA,ACA260515C00070000,70.0,0.4191780821917808,110.75,0.4297,call
ACA,ACA260515P00080000,80.0,0.4191780821917808,110.75,0.4677,put
ACA,ACA260220C00150000,150.0,0.18904109589041096,110.75,,call
