symbol,n_contracts
A,100
AA,100
AAAU,100
AAL,100
AAMI,86
AAOI,100
AAON,100
AAP,100
AAPB,100
AAPD,100
AAPL,100
AAPU,100
AAPW,100
AAPX,100
AAPY,88
AAT,96
AAXJ,100
AB,74
ABAT,100
ABBV,100
ABCB,100
ABCL,100
ABEO,78
ABEV,84
ABFL,100
ABG,100
ABL,66
ABM,86
ABNB,100
ABNG,88
ABNY,100
ABOS,24
ABR,100
ABSI,82
ABT,100
ABTC,100
ABUS,94
ABVC,24
ABVE,30
ABVX,100
ACA,100
ACAD,100
ACB,100
ACCO,24
ACDC,90
ACEL,66
ACES,100
ACET,56
ACGL,100
ACHC,100
ACHR,100
ACHV,38
ACI,100
ACIC,100
ACIO,100
ACIU,24
ACIW,82
ACLS,100
ACLX,100
ACM,100
ACMR,100
ACN,100
ACNB,78
ACNT,100
ACR,64
ACRE,24
ACRS,82
ACT,72
ACTG,24
ACVA,62
ACWI,100
ACWV,100
ACWX,100
ACXP,22
AD,100
ADAM,40
ADBE,100
ADBG,100
ADC,100
ADCT,24
ADEA,80
ADI,100
ADM,100
ADMA,100
ADNT,100
ADP,100
ADPT,96
ADSE,86
ADSK,100
ADT,100
ADTN,100
ADUR,88
ADUS,100
ADV,24
AEBI,20
AEE,100
AEG,48
AEHR,100
AEM,100
AEO,100
AER,100
AEXA,64
AFCG,28
AFK,100
AFYA,90
AG,100
AGCO,100
AGEN,100
AGG,100
AGIO,100
AGIX,100
AGM,100
AGNC,100
AGNG,88
AGX,100
AGZ,88
AHCO,80
AHH,40
AHR,80
AI,100
AIBU,100
AIEQ,96
AIG,100
AIN,66
AIOT,30
AIPI,100
AIR,100
AIRS,100
AKAM,100
AKBA,98
AL,100
ALEC,56
ALG,100
ALGN,100
ALGT,100
ALIT,94
ALK,100
ALKS,100
ALKT,100
ALLE,100
ALMS,100
ALMU,100
ALNT,100
ALRM,100
ALRS,56
ALSN,100
ALT,100
ALTL,100
ALTS,100
ALV,100
AM,100
AMAT,100
AMBA,100
AMBR,40
AMC,100
AMCX,88
AMD,100
AMDW,100
AMG,100
AMKR,100
AMPH,84
AMPX,100
AMR,100
AMRN,100
AMRX,68
AMSC,100
AMT,100
AMTM,100
AMYY,100
AMZD,100
AMZN,100
AMZU,100
AMZZ,100
AN,100
ANDE,90
ANEW,100
ANF,100
ANGI,100
ANGL,66
ANGO,72
ANGX,46
ANIK,70
ANIP,100
ANIX,28
ANNX,94
ANRO,80
ANVS,100
ANY,32
AOA,100
AOM,96
AON,100
AOR,100
AORT,82
AOS,100
AOSL,100
AOUT,56
AP,24
APA,100
APAM,82
APD,100
APEI,78
APG,100
APGE,100
APH,100
API,24
APLD,100
APLE,74
APLS,100
APLT,84
APLX,100
APLY,88
APO,100
APOG,82
APP,100
APPF,100
APPN,100
APPS,100
APPX,100
APT,100
APTV,100
APYX,30
AQMS,12
AQN,40
AQST,92
AQWA,100
AR,100
ARAY,38
ARBE,62
ARBK,100
ARCB,100
ARCC,100
ARCO,46
ARCT,80
ARCX,100
ARDT,98
ARDX,100
ARE,100
AREC,100
AREN,32
ARES,100
ARGT,100
ARGX,100
ARHS,90
ARI,80
ARKB,100
ARKF,100
ARKG,100
ARKK,100
ARKO,36
ARKQ,100
ARKW,100
ARKX,100
ARLO,100
ARLP,90
ARM,100
ARMG,100
ARMK,100
ARMN,70
ARMP,64
ARMU,100
ARMW,100
AROC,72
AROW,64
ARQ,36
ARQQ,100
ARQT,100
ARR,100
ARRY,100
ARTY,100
ARVN,100
ARVR,100
ARW,100
ARWR,100
ARX,90
AS,100
ASA,100
ASAN,100
ASB,74
ASC,80
ASEA,64
ASGN,94
ASH,92
ASHR,100
ASHS,100
ASIX,92
ASLE,46
ASMB,82
ASMG,100
ASML,100
ASND,100
ASO,100
ASPI,100
ASPN,100
ASR,100
ASRT,34
ASRV,24
ASST,100
ASTE,88
ASTH,74
ASTL,100
ASTS,100
ASTX,100
ASUR,56
ASX,78
ASYS,60
ATAI,100
ATAT,76
ATEC,100
ATEN,94
ATER,24
ATEX,74
ATGE,100
ATHA,24
ATHM,90
ATI,100
ATKR,100
ATLO,78
ATLX,40
ATMP,88
ATMU,100
ATNI,94
ATNM,24
ATO,100
ATOM,34
ATOS,40
ATR,100
ATRC,84
ATRO,100
ATS,100
ATXS,62
ATYR,100
AU,100
AUB,40
AUDC,60
AUGO,92
AUPH,100
AUR,100
AURA,38
AURU,100
AUTL,56
AVA,40
AVAH,54
AVAV,100
AVB,100
AVBP,90
AVD,28
AVDE,100
AVDL,100
AVDV,100
AVEM,100
AVGE,100
AVGG,100
AVGO,100
AVGV,100
AVGW,100
AVGX,100
AVIE,100
AVIR,24
AVL,100
AVLC,100
AVLV,100
AVMA,96
AVMC,100
AVMU,62
AVMV,100
AVNM,100
AVNS,74
AVNT,82
AVNV,100
AVNW,60
AVO,76
AVPT,100
AVRE,88
AVSC,100
AVSU,100
AVT,100
AVTR,100
AVTX,100
AVUS,100
AVUV,100
AVXL,100
AVY,100
AWAY,90
AWI,100
AWK,100
AWR,100
AWRE,24
AX,100
AXGN,100
AXL,100
AXON,100
AXP,100
AXS,100
AXSM,100
AXTA,100
AXTI,88
AXUP,100
AYI,100
AZ,100
AZN,100
AZO,100
AZTA,100
AZYY,100
AZZ,100
B,100
BA,100
BAB,88
BABA,100
BABO,98
BABW,100
BABX,100
BAC,100
BAGY,100
BAH,100
BAI,100
BAIG,100
BALI,68
BALL,100
BALT,88
BAM,100
BANC,100
BAND,86
BANF,100
BANR,100
BANX,100
BAP,100
BARK,40
BATRA,78
BATRK,82
BATT,94
BAX,100
BB,100
BBAI,100
BBAR,100
BBAX,96
BBB,88
BBBY,100
BBC,100
BBCA,100
BBCP,62
BBD,100
BBDC,56
BBEU,100
BBH,100
BBIN,100
BBIO,100
BBJP,100
BBMC,100
BBNX,46
BBP,100
BBSI,86
BBT,100
BBU,52
BBUC,74
BBUS,100
BBVA,54
BBW,100
BBWI,100
BBY,100
BC,100
BCAB,56
BCAX,100
BCBP,52
BCC,100
BCD,82
BCE,100
BCH,68
BCI,70
BCIC,78
BCML,64
BCO,100
BCPC,100
BCRX,100
BCS,100
BCSF,84
BCYC,96
BDC,100
BDN,58
BDRY,90
BDSX,50
BDTX,40
BDX,100
BE,100
BEAM,100
BEDZ,100
BEEM,24
BEKE,100
BELFB,100
BELT,88
BEN,100
BEP,100
BEPC,100
BETA,84
BETR,100
BETZ,100
BEX,100
BF.A,66
BF.B,100
BFAM,100
BFH,100
BFIN,72
BFIX,66
BFLY,100
BFOR,100
BFS,68
BFST,64
BG,100
BGC,100
BGS,100
BGSF,60
BHB,72
BHC,100
BHE,80
BHF,100
BHP,100
BHR,24
BHVN,100
BIB,100
BIBL,100
BIDU,100
BIGY,100
BIIB,100
BIL,100
BILI,100
BILL,100
BILS,62
