S0,K,T,C_mkt,iv_market
683.39,500.0,0.11,184.43,0.3909
683.39,505.0,0.11,179.45,0.3839
683.39,510.0,0.11,174.49,0.3788
683.39,515.0,0.11,169.53,0.372
683.39,520.0,0.11,164.57,0.3644
683.39,525.0,0.11,159.61,0.3574
683.39,530.0,0.11,154.66,0.3515
683.39,535.0,0.11,149.7,0.3435
683.39,540.0,0.11,144.75,0.3364
683.39,545.0,0.11,139.8,0.3289
683.39,550.0,0.11,134.85,0.321
683.39,555.0,0.11,129.9,0.3131
683.39,560.0,0.11,124.96,0.3053
683.39,565.0,0.11,120.03,0.2976
683.39,570.0,0.11,115.09,0.2897
683.39,575.0,0.11,110.17,0.2822
683.39,580.0,0.11,105.25,0.2741
683.39,585.0,0.11,100.35,0.267
683.39,590.0,0.11,95.47,0.2596
683.39,595.0,0.11,90.59,0.2525
683.39,600.0,0.11,85.75,0.2454
683.39,605.0,0.11,80.91,0.2386
683.39,610.0,0.11,76.11,0.2319
683.39,615.0,0.11,71.33,0.2252
683.39,620.0,0.11,66.58,0.2185
683.39,625.0,0.11,61.88,0.212
683.39,630.0,0.11,57.2,0.2054
683.39,635.0,0.11,52.59,0.199
683.39,640.0,0.11,48.04,0.1926
683.39,645.0,0.11,43.55,0.1862
683.39,648.0,0.11,40.91,0.1824
683.39,649.0,0.11,40.03,0.1812
683.39,650.0,0.11,39.16,0.1798
683.39,651.0,0.11,38.28,0.1785
683.39,652.0,0.11,37.42,0.1773
683.39,653.0,0.11,36.56,0.176
683.39,654.0,0.11,35.7,0.1746
683.39,655.0,0.11,34.85,0.1734
683.39,656.0,0.11,34.0,0.1722
683.39,657.0,0.11,33.16,0.1708
683.39,658.0,0.11,32.32,0.1696
683.39,659.0,0.11,31.48,0.1682
683.39,660.0,0.11,30.65,0.167
683.39,661.0,0.11,29.84,0.1656
683.39,662.0,0.11,29.02,0.1644
683.39,663.0,0.11,28.2,0.1631
683.39,664.0,0.11,27.41,0.1618
683.39,665.0,0.11,26.61,0.1606
683.39,666.0,0.11,25.81,0.1593
683.39,667.0,0.11,24.96,0.157
683.39,668.0,0.11,24.42,0.1591
683.39,669.0,0.11,23.33,0.1533
683.39,670.0,0.11,22.68,0.1542
683.39,671.0,0.11,21.93,0.1522
683.39,672.0,0.11,21.2,0.151
683.39,673.0,0.11,20.51,0.1507
683.39,674.0,0.11,20.49,0.1578
683.39,675.0,0.11,19.23,0.149
683.39,676.0,0.11,18.87,0.1527
683.39,677.0,0.11,17.67,0.1453
683.39,678.0,0.11,17.74,0.153
683.39,679.0,0.11,16.14,0.1442
683.39,680.0,0.11,16.18,0.1474
683.39,681.0,0.11,15.32,0.1447
683.39,682.0,0.11,14.41,0.1401
683.39,683.0,0.11,13.79,0.1389
683.39,684.0,0.11,13.18,0.1378
683.39,685.0,0.11,12.59,0.1367
683.39,686.0,0.11,12.0,0.1356
683.39,687.0,0.11,11.44,0.1345
683.39,688.0,0.11,10.88,0.1335
683.39,689.0,0.11,10.35,0.1324
683.39,690.0,0.11,9.82,0.1314
683.39,691.0,0.11,9.32,0.1304
683.39,692.0,0.11,8.82,0.1294
683.39,693.0,0.11,8.35,0.1285
683.39,694.0,0.11,7.89,0.1276
683.39,695.0,0.11,7.45,0.1267
683.39,696.0,0.11,7.02,0.1259
683.39,697.0,0.11,6.62,0.125
683.39,698.0,0.11,6.22,0.1242
683.39,699.0,0.11,5.85,0.1235
683.39,700.0,0.11,5.48,0.1227
683.39,701.0,0.11,5.14,0.1221
683.39,702.0,0.11,4.82,0.1214
683.39,703.0,0.11,4.51,0.1208
683.39,704.0,0.11,4.21,0.1202
683.39,705.0,0.11,3.94,0.1196
683.39,706.0,0.11,3.67,0.1191
683.39,707.0,0.11,3.42,0.1186
683.39,708.0,0.11,3.19,0.1182
683.39,709.0,0.11,2.97,0.1177
683.39,710.0,0.11,2.76,0.1174
683.39,715.0,0.11,1.9,0.1159
683.39,720.0,0.11,1.3,0.1151
683.39,725.0,0.11,0.89,0.1151
683.39,730.0,0.11,0.61,0.1159
683.39,735.0,0.11,0.43,0.1175
683.39,740.0,0.11,0.31,0.1197
683.39,745.0,0.11,0.23,0.1223
683.39,750.0,0.11,0.18,0.1258
683.39,755.0,0.11,0.14,0.129
683.39,760.0,0.11,0.11,0.1324
683.39,765.0,0.11,0.09,0.1362
683.39,770.0,0.11,0.07,0.1391
683.39,775.0,0.11,0.06,0.1432
683.39,780.0,0.11,0.05,0.147
683.39,785.0,0.11,0.04,0.1516
683.39,790.0,0.11,0.04,0.1561
683.39,795.0,0.11,0.04,0.1622
683.39,800.0,0.11,0.04,0.1661
683.39,210.0,0.13,473.5,0.0
683.39,215.0,0.13,468.51,0.0
683.39,220.0,0.13,463.52,0.0
683.39,225.0,0.13,458.53,0.0
683.39,230.0,0.13,453.55,0.0
683.39,235.0,0.13,448.56,0.0
683.39,240.0,0.13,443.57,0.0
683.39,245.0,0.13,438.58,0.0
683.39,250.0,0.13,433.59,0.0
683.39,255.0,0.13,428.61,0.0
683.39,260.0,0.13,423.62,0.0
683.39,265.0,0.13,418.63,0.0
683.39,270.0,0.13,413.64,0.0
683.39,275.0,0.13,408.65,0.0
683.39,280.0,0.13,403.67,0.0
683.39,285.0,0.13,398.68,0.0
683.39,290.0,0.13,393.69,0.0
683.39,295.0,0.13,388.7,0.0
683.39,300.0,0.13,383.72,0.0
683.39,305.0,0.13,378.73,0.0
683.39,310.0,0.13,373.75,0.0
683.39,315.0,0.13,368.76,0.0
683.39,320.0,0.13,363.77,0.0
683.39,325.0,0.13,358.79,0.0
683.39,330.0,0.13,353.81,0.0
683.39,335.0,0.13,348.82,0.0
683.39,340.0,0.13,343.83,0.0
683.39,345.0,0.13,338.85,0.0
683.39,350.0,0.13,333.87,0.0
683.39,355.0,0.13,328.88,0.0
683.39,360.0,0.13,323.9,0.0
683.39,365.0,0.13,318.92,0.0
683.39,370.0,0.13,313.94,0.0
683.39,375.0,0.13,308.95,0.0
683.39,380.0,0.13,303.98,0.0
683.39,385.0,0.13,298.99,0.0
683.39,390.0,0.13,294.01,0.0
683.39,395.0,0.13,289.03,0.0
683.39,400.0,0.13,284.06,0.0
683.39,405.0,0.13,279.08,0.0
683.39,410.0,0.13,274.11,0.1575
683.39,415.0,0.13,269.13,0.4247
683.39,420.0,0.13,264.15,0.4316
683.39,425.0,0.13,259.18,0.431
683.39,430.0,0.13,254.21,0.4273
683.39,435.0,0.13,249.25,0.4227
683.39,440.0,0.13,244.28,0.4255
683.39,445.0,0.13,239.33,0.4254
683.39,450.0,0.13,234.38,0.4259
683.39,455.0,0.13,229.43,0.4202
683.39,460.0,0.13,224.47,0.4179
683.39,465.0,0.13,219.53,0.4128
683.39,470.0,0.13,214.57,0.4087
683.39,475.0,0.13,209.62,0.4039
683.39,480.0,0.13,204.68,0.3996
683.39,485.0,0.13,199.73,0.3936
683.39,490.0,0.13,194.78,0.3872
683.39,495.0,0.13,189.84,0.3814
683.39,500.0,0.13,184.89,0.376
683.39,505.0,0.13,179.95,0.3686
683.39,510.0,0.13,175.01,0.3624
683.39,515.0,0.13,170.07,0.3564
683.39,520.0,0.13,165.14,0.3495
683.39,525.0,0.13,160.2,0.3428
683.39,530.0,0.13,155.28,0.3363
683.39,535.0,0.13,150.34,0.3295
683.39,540.0,0.13,145.42,0.3224
683.39,545.0,0.13,140.5,0.3149
683.39,550.0,0.13,135.16,0.2664
683.39,555.0,0.13,130.66,0.3015
683.39,560.0,0.13,125.75,0.2945
683.39,565.0,0.13,120.84,0.2872
683.39,570.0,0.13,115.94,0.2805
683.39,575.0,0.13,111.06,0.2738
683.39,580.0,0.13,106.18,0.267
683.39,585.0,0.13,101.31,0.2603
683.39,590.0,0.13,96.46,0.2536
683.39,595.0,0.13,91.62,0.2471
683.39,600.0,0.13,86.81,0.2409
683.39,605.0,0.13,82.02,0.2344
683.39,610.0,0.13,77.25,0.2282
683.39,615.0,0.13,72.52,0.2222
683.39,620.0,0.13,67.81,0.216
683.39,625.0,0.13,63.15,0.21
683.39,630.0,0.13,58.64,0.2069
683.39,635.0,0.13,53.97,0.1979
683.39,640.0,0.13,49.45,0.1919
683.39,645.0,0.13,45.67,0.1961
683.39,650.0,0.13,40.67,0.1798
683.39,655.0,0.13,36.05,0.1758
683.39,660.0,0.13,32.23,0.1674
683.39,665.0,0.13,28.85,0.1686
683.39,670.0,0.13,24.5,0.1568
683.39,675.0,0.13,20.48,0.1498
683.39,680.0,0.13,16.95,0.1432
683.39,685.0,0.13,14.29,0.1396
683.39,690.0,0.13,11.48,0.1348
683.39,695.0,0.13,9.0,0.1304
683.39,700.0,0.13,6.92,0.1268
683.39,705.0,0.13,5.18,0.1234
683.39,710.0,0.13,3.81,0.121
683.39,715.0,0.13,2.76,0.1192
683.39,720.0,0.13,1.98,0.1183
683.39,725.0,0.13,1.4,0.1179
