S0,K,T,P_mkt,iv_market
683.39,500.0,0.11,0.34,0.4118
683.39,505.0,0.11,0.36,0.4033
683.39,510.0,0.11,0.38,0.3946
683.39,515.0,0.11,0.41,0.3864
683.39,520.0,0.11,0.43,0.3781
683.39,525.0,0.11,0.45,0.3682
683.39,530.0,0.11,0.48,0.3607
683.39,535.0,0.11,0.51,0.3522
683.39,540.0,0.11,0.54,0.3437
683.39,545.0,0.11,0.57,0.3354
683.39,550.0,0.11,0.61,0.3268
683.39,555.0,0.11,0.65,0.3184
683.39,560.0,0.11,0.7,0.3105
683.39,565.0,0.11,0.74,0.3016
683.39,570.0,0.11,0.8,0.2938
683.39,575.0,0.11,0.86,0.2856
683.39,580.0,0.11,0.93,0.2777
683.39,585.0,0.11,1.0,0.2694
683.39,590.0,0.11,1.09,0.2617
683.39,595.0,0.11,1.19,0.2542
683.39,600.0,0.11,1.31,0.2468
683.39,605.0,0.11,1.46,0.2398
683.39,610.0,0.11,1.62,0.2328
683.39,615.0,0.11,1.83,0.226
683.39,620.0,0.11,2.05,0.2191
683.39,625.0,0.11,2.32,0.2124
683.39,630.0,0.11,2.63,0.2059
683.39,635.0,0.11,3.0,0.1994
683.39,640.0,0.11,3.42,0.1929
683.39,645.0,0.11,3.92,0.1864
683.39,648.0,0.11,4.26,0.1824
683.39,649.0,0.11,4.38,0.1812
683.39,650.0,0.11,4.51,0.1799
683.39,651.0,0.11,4.63,0.1785
683.39,652.0,0.11,4.77,0.1772
683.39,653.0,0.11,4.9,0.1759
683.39,654.0,0.11,5.04,0.1747
683.39,655.0,0.11,5.19,0.1733
683.39,656.0,0.11,5.34,0.1721
683.39,657.0,0.11,5.49,0.1708
683.39,658.0,0.11,5.65,0.1695
683.39,659.0,0.11,5.82,0.1681
683.39,660.0,0.11,6.0,0.1669
683.39,661.0,0.11,6.18,0.1656
683.39,662.0,0.11,6.36,0.1643
683.39,663.0,0.11,6.55,0.163
683.39,664.0,0.11,6.75,0.1618
683.39,665.0,0.11,6.96,0.1604
683.39,666.0,0.11,7.17,0.1592
683.39,667.0,0.11,7.39,0.1579
683.39,668.0,0.11,7.62,0.1567
683.39,669.0,0.11,7.86,0.1554
683.39,670.0,0.11,8.09,0.154
683.39,671.0,0.11,8.35,0.1528
683.39,672.0,0.11,8.62,0.1516
683.39,673.0,0.11,8.88,0.1504
683.39,674.0,0.11,9.16,0.1491
683.39,675.0,0.11,9.46,0.1478
683.39,676.0,0.11,9.77,0.1467
683.39,677.0,0.11,10.07,0.1454
683.39,678.0,0.11,10.4,0.1443
683.39,679.0,0.11,10.75,0.1432
683.39,680.0,0.11,11.1,0.1418
683.39,681.0,0.11,11.46,0.1408
683.39,682.0,0.11,11.84,0.1394
683.39,683.0,0.11,12.23,0.1384
683.39,684.0,0.11,12.64,0.1373
683.39,685.0,0.11,13.06,0.1362
683.39,686.0,0.11,13.49,0.1352
683.39,687.0,0.11,13.94,0.1341
683.39,688.0,0.11,14.41,0.1331
683.39,689.0,0.11,14.9,0.1321
683.39,690.0,0.11,15.47,0.1305
683.39,691.0,0.11,15.95,0.1307
683.39,692.0,0.11,16.48,0.1291
683.39,693.0,0.11,16.77,0.125
683.39,694.0,0.11,17.6,0.1278
683.39,695.0,0.11,18.18,0.1269
683.39,696.0,0.11,18.78,0.1273
683.39,697.0,0.11,19.4,0.1248
683.39,698.0,0.11,20.04,0.124
683.39,699.0,0.11,20.69,0.1232
683.39,700.0,0.11,21.36,0.1225
683.39,701.0,0.11,22.16,0.1237
683.39,702.0,0.11,22.73,0.121
683.39,703.0,0.11,23.45,0.1204
683.39,704.0,0.11,24.19,0.1199
683.39,705.0,0.11,24.95,0.1193
683.39,706.0,0.11,25.7,0.1188
683.39,707.0,0.11,26.48,0.1182
683.39,708.0,0.11,27.29,0.1178
683.39,709.0,0.11,28.09,0.1174
683.39,710.0,0.11,28.91,0.1171
683.39,715.0,0.11,33.22,0.1159
683.39,720.0,0.11,37.75,0.1157
683.39,725.0,0.11,42.45,0.1163
683.39,730.0,0.11,47.26,0.1174
683.39,735.0,0.11,52.13,0.1192
683.39,740.0,0.11,57.06,0.1203
683.39,745.0,0.11,62.0,0.1146
683.39,750.0,0.11,66.96,0.0
683.39,755.0,0.11,71.94,0.0
683.39,760.0,0.11,76.93,0.0
683.39,765.0,0.11,81.93,0.0
683.39,770.0,0.11,86.93,0.0
683.39,775.0,0.11,91.93,0.0
683.39,780.0,0.11,96.93,0.0
683.39,785.0,0.11,101.93,0.0
683.39,790.0,0.11,106.93,0.0
683.39,795.0,0.11,111.93,0.0
683.39,800.0,0.11,116.93,0.0
683.39,210.0,0.13,0.01,0.9752
683.39,215.0,0.13,0.01,0.9563
683.39,220.0,0.13,0.01,0.9379
683.39,225.0,0.13,0.01,0.9199
683.39,230.0,0.13,0.02,0.9215
683.39,235.0,0.13,0.02,0.904
683.39,240.0,0.13,0.03,0.9019
683.39,245.0,0.13,0.03,0.8848
683.39,250.0,0.13,0.03,0.8681
683.39,255.0,0.13,0.03,0.8517
683.39,260.0,0.13,0.03,0.8356
683.39,265.0,0.13,0.03,0.8198
683.39,270.0,0.13,0.03,0.8043
683.39,275.0,0.13,0.03,0.7891
683.39,280.0,0.13,0.03,0.7742
683.39,285.0,0.13,0.04,0.7801
683.39,290.0,0.13,0.04,0.7653
683.39,295.0,0.13,0.04,0.7667
683.39,300.0,0.13,0.04,0.7521
683.39,305.0,0.13,0.06,0.7507
683.39,310.0,0.13,0.06,0.7363
683.39,315.0,0.13,0.06,0.7222
683.39,320.0,0.13,0.06,0.7138
683.39,325.0,0.13,0.07,0.705
683.39,330.0,0.13,0.07,0.6961
683.39,335.0,0.13,0.08,0.6869
683.39,340.0,0.13,0.08,0.6736
683.39,345.0,0.13,0.08,0.6682
683.39,350.0,0.13,0.09,0.6585
683.39,355.0,0.13,0.1,0.6488
683.39,360.0,0.13,0.1,0.6392
683.39,365.0,0.13,0.11,0.6293
683.39,370.0,0.13,0.11,0.6222
683.39,375.0,0.13,0.12,0.6147
683.39,380.0,0.13,0.13,0.6046
683.39,385.0,0.13,0.14,0.5945
683.39,390.0,0.13,0.15,0.5865
683.39,395.0,0.13,0.15,0.5783
683.39,400.0,0.13,0.17,0.5699
683.39,405.0,0.13,0.17,0.5613
683.39,410.0,0.13,0.18,0.5526
683.39,415.0,0.13,0.2,0.5438
683.39,420.0,0.13,0.21,0.5349
683.39,425.0,0.13,0.21,0.526
683.39,430.0,0.13,0.23,0.5168
683.39,435.0,0.13,0.23,0.5077
683.39,440.0,0.13,0.26,0.501
683.39,445.0,0.13,0.27,0.4916
683.39,450.0,0.13,0.28,0.4822
683.39,455.0,0.13,0.29,0.4748
683.39,460.0,0.13,0.3,0.4653
683.39,465.0,0.13,0.33,0.4576
683.39,470.0,0.13,0.34,0.448
683.39,475.0,0.13,0.35,0.4399
683.39,480.0,0.13,0.38,0.4319
683.39,485.0,0.13,0.4,0.4236
683.39,490.0,0.13,0.41,0.4151
683.39,495.0,0.13,0.43,0.4065
683.39,500.0,0.13,0.46,0.399
683.39,505.0,0.13,0.49,0.3914
683.39,510.0,0.13,0.52,0.3826
683.39,515.0,0.13,0.55,0.3745
683.39,520.0,0.13,0.57,0.3663
683.39,525.0,0.13,0.6,0.3581
683.39,530.0,0.13,0.65,0.3504
683.39,535.0,0.13,0.69,0.3425
683.39,540.0,0.13,0.72,0.3345
683.39,545.0,0.13,0.77,0.3263
683.39,550.0,0.13,0.81,0.3185
683.39,555.0,0.13,0.86,0.3104
683.39,560.0,0.13,0.92,0.3023
683.39,565.0,0.13,0.98,0.2949
683.39,570.0,0.13,1.04,0.2867
683.39,575.0,0.13,1.12,0.2793
683.39,580.0,0.13,1.22,0.2721
683.39,585.0,0.13,1.32,0.2649
683.39,590.0,0.13,1.44,0.2578
683.39,595.0,0.13,1.58,0.2508
683.39,600.0,0.13,1.73,0.2441
683.39,605.0,0.13,1.9,0.2373
683.39,610.0,0.13,2.12,0.231
